Timestamp,What ZIP code do you live in?,Age?,Which best describes your employment status? ,What is your current housing situation? (select all that apply),What type of dwelling do you currently live in? (select all that apply),How would you rate the affordability of housing in your area?,What is your largest housing-related concern?,Please rate your awareness of public & city issues in the San Antonio area.,"In your current district, what concerns do you have related to job prospects, workforce opportunities, and other areas of economic development? (select all that apply)","Are there opportunities for investment, career growth, and job opportunities in your district? (If possible, please expand on your answer choice in ""Other"")",Which of the following do you believe is the biggest barrier to stable employment in San Antonio? (select all that apply),What types of job training or workforce programs would you most like to see expanded? (select all that apply),"Do you think partnerships between local government and private companies (such as developers or tech firms) help create more jobs and boost the economy in San Antonio? (If possible, please expand on your answer choice in ""Other"")",What is your primary mode of transportation?,How satisfied are you with public transportation in San Antonio?,Which transportation improvements would most benefit your daily life?  (select all that apply),What's a public service or resource your neighborhood is currently lacking? (select all that apply),Do you frequent downtown San Antonio? ,What aspects of San Antonio make you optimistic?,What perspective do you have about development regarding the San Antonio sports and entertainment district?,What should be a top priority for San Antonio's growth? ,How connected do you feel to decision-making in your neighborhood or city?,"How accessible are public community spaces in your district? (ex. Parks, Libraries, Community Centers, etc.)",What types of local businesses or services do you wish existed in your neighborhood but don’t?,Feel free to share any other experiences or opinions as a citizen of your district and San Antonio: (Free Response)
7/3/2025 11:14:54,78210,35–44,Employed full-time,Owning a home or condo,Single-family house,4,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality, Displacement/gentrification, Lack of homeownership opportunities, Rising property value",4,"Not enough job opportunities, Low wages",People,"Lack of job opportunities, Low wages","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Unsure,Personal Vehicle,Somewhat dissatisfied,Expanded routes or better coverage,"Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Affordable child or elder care, Mental health or healthcare services, Youth programming, Job centers or business support",Yes,The people ,Negative,Affordable housing,Somewhat connected,4,"Grocery stores, Restaurants/cafes, Healthcare services, Child care/senior care, Financial services, Coworking spaces",
7/5/2025 10:20:42,78251,65 or older,Retired,Owning a home or condo,Single-family house,3,Rising property value,4,"Not enough job opportunities, High cost of living",Unsure,"Lack of job opportunities, Low wages","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, Apprenticeships",Maybe,Personal Vehicle,Somewhat satisfied,Expanded routes or better coverage,Job centers or business support,No,"Growing Tech Hub scene, Larger military presence",Negative,Public safety,Not very connected,5,,"I have lived in cities which created light rail.  It is a basically worthless system because it cannot change as the city changes.  More busses, VIA link, etc. would be much better.  The majority of the population doesn’t care about the Spurs and doesn’t want a boondoggle public facility for them.  They can pay for their own facility that they make money from.  As a taxpayer, I want essential services (police, fire, road construction/repair, parks, etc.) to be funded first.  School districts tax and run their own systems and are not the city’s business.  PRE-K for SA is a very expensive babysitting service and, like HeadStart, accomplishes little bang for the buck.  I know I live in a socialist democrat city but I would hope the city government would make at least a teeny tiny effort to please the rather large minority of the taxpayers at least once in a while."
7/5/2025 10:25:32,78204,45–54,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality",2,"Low wages, High cost of living",Yes but employers do not get back to candidates on interview or post interview status,Lack of job opportunities,"Tech and digital skills, Green jobs/sustainability sectors",Yes,Personal Vehicle,Very dissatisfied,"Reduced traffic congestion, Lower transportation costs",Mental health or healthcare services,Yes,"Arts, entertainment, music, Growing Tech Hub scene",Neutral,Affordable housing,Somewhat connected,10,"Healthcare services, Coworking spaces",
7/5/2025 11:17:15,78250,65 or older,Retired,Owning a home or condo,Single-family house,2,Displacement/gentrification,2,No concerns that are major.  The econemy is healty and diverse.,"Research (SWR), banking, hospitials and tech support ","Inadequate training or education programs, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles",Maybe,Personal Vehicle,Somewhat dissatisfied,"Expanded routes or better coverage, Reduced traffic congestion",Elder care.  We have plenty of child care/child development.,Sometimes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Larger military presence",Negative,"Climate resilence/sustainablity, Education collaboration with K-12, junior colleges, state and private colleges and universities.  City should not develop it's own education program.  Needs to lead in collaborating with the pros, not devleop it's own programs that leads to high overhead and unatainable ""Field of Dreams"" planning, budgeting and poor executiion.",Not very connected,10,"Restaurants/cafes, Child care/senior care, Coworking spaces",
7/5/2025 11:20:59,78250,65 or older,Retired,Owning a home or condo,Single-family house,1,No housing concerns,5,Not enough job opportunities,No,Childcare or eldercare responsibilities,English language or GED programs,No,Bicycle,Very dissatisfied,Reduced traffic congestion,Safe parks or green spaces,No,Low cost of living,Negative,Public safety,Not very connected,5,Child care/senior care,"Fix the streets and sidewalks, and more police..."
7/5/2025 12:36:57,78251,55–64,Retired,Owning a home or condo,Single-family house,3,Rising property value,4,"Not enough job opportunities, Low wages",No,"Inadequate training or education programs, Transportation challenges",Green jobs/sustainability sectors,Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, Reduced traffic congestion","Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Affordable child or elder care",Sometimes,Access to top-tier universities and research institutions,Negative,Public safety,Not very connected,7,Other,
7/5/2025 13:21:05,78253,65 or older,Retired,Owning a home or condo,Single-family house,4,Rising property value,3,Low wages,Unsure,Transportation challenges,Green jobs/sustainability sectors,Maybe,Personal Vehicle,Somewhat dissatisfied,"Reduced traffic congestion, Safer streets",Public transit options,No,Access to top-tier universities and research institutions,Negative,Climate resilience/sustainability,Not very connected,9,,
7/5/2025 15:22:25,78253,65 or older,Retired,Owning a home or condo,Single-family house,2,No housing concerns,3,not enough manufacturing opportunities ,too much service/fast food ,lack of skilled opportunities ,"Trade or vocational training, Tech and digital skills",Unsure,Personal Vehicle,Somewhat satisfied,Reduced traffic congestion,Public transit options,Sometimes,Larger military presence,Negative,Small business development,Neutral,7,Other,
7/5/2025 18:04:57,78250,65 or older,Retired,Owning a home or condo,Single-family house,2,"Lack of homeownership opportunities, Rising property value",2,Low wages,Limited promotional & higher ed opportunities,"Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, English language or GED programs,  ESL classes at local schools or public facilities ",Maybe,Personal Vehicle,Somewhat satisfied,"Expanded routes or better coverage, More sidewalks, Lower transportation costs","Access to fresh food/grocery stores, Public transit options, Affordable child or elder care, Job centers or business support",Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Low cost of living",Negative,Affordable housing,Somewhat connected,8,"Healthcare services, Child care/senior care","Even though some business ' or services exist, the cost is prohibitive for, or not easily accessed by many seniors or single parent families. "
7/5/2025 19:51:05,78227,55–64,Employed full-time,Owning a home or condo,Single-family house,5,Rising rent and/or high housing costs,3,"Not enough job opportunities, Low wages, High cost of living",Unsure,"Lack of job opportunities, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors",Yes,Personal Vehicle,Neutral,"More frequent bus service, Expanded routes or better coverage","Public transit options, Affordable child or elder care, Mental health or healthcare services, Youth programming, Job centers or business support",No,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Neutral,Affordable housing,Neutral,8,"Healthcare services, Child care/senior care, Financial services",
7/6/2025 9:47:08,78210,65 or older,Employed part-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,2,High cost of living,Yes,Too many able people don't want to have regular jobs.,"Trade or vocational training, Apprenticeships",No,Personal Vehicle,I don't use public transportation,"More sidewalks, Safer streets","Street, drainage, and sidewalk maintenance; adequate police presence",Yes,"I am not optimistic, as city leaders pay more attention to grandiose projects and social engineering than to basic city services.",Negative,Public safety,Somewhat connected,9,Other,I sometimes feel that the residents of my district are simply pawns to the big plans of an alliance between ambitous politicians and developers.
7/6/2025 11:05:30,78251,65 or older,Retired,Owning a home or condo,Single-family house,3,"Poor housing quality, Lack of homeownership opportunities",1,"Not enough job opportunities, Low wages, High cost of living",No,"Lack of job opportunities, Low wages","Trade or vocational training, Healthcare or caregiving roles, Apprenticeships",Yes,Personal Vehicle,Somewhat dissatisfied,"Reduced traffic congestion, Safer streets, Lower transportation costs","Public transit options, Mental health or healthcare services, Job centers or business support",Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion",Negative,Job creation,Not very connected,3,"Healthcare services, Financial services, Coworking spaces",
7/6/2025 12:23:43,78250,65 or older,Retired,Owning a home or condo,Single-family house,4,Rising property value,2,Seems like there are plenty of jobs but not much interest in working.,I would imagine there are. see new construction and help wanted signs.,"Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Apprenticeships, English language or GED programs",Depends on how the partnerships are organized and monitored.,Personal Vehicle,Neutral,"Reduced traffic congestion, Safer streets, Lower transportation costs","need more police presence, enforce traffic laws.",No,"Larger military presence, Low cost of living",Negative,Public safety,Not very connected,10,Restaurants/cafes,
7/6/2025 13:00:29,78251,55–64,Employed full-time,Owning a home or condo,Single-family house,2,Rising rent and/or high housing costs,2,"Lack of diversity in retail & consumerism, Low wages, High cost of living",Unsure,"Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, Apprenticeships",Yes,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets","Affordable child or elder care, Mental health or healthcare services",Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Larger military presence",Positive,Affordable housing,Neutral,7,Child care/senior care,"The city has a major problem when it comes to fixing roads.  I walk downtown and have seen several roads tore up for YEARS on end.  I grew up in Wisconsin, they only tear up the amount of roadway that they can fix in 4-6 months, then move on to the next stretch of roadway.  The current way the city does roadwork is idiotic for pedestrians, commuters and for the businesses along the route.  Santa Rosa and S. Alamo streets are current examples downtown.  Hunt Lane and Marbach Road years ago are examples from the past in our district.  Both Hunt and Marbach impacted traffic in front of schools for years.  Not safe for our children."
7/7/2025 9:19:40,78227,25–34,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,5,"Lack of diversity in retail & consumerism, Lack of long-term investment opportunities",Yes,"Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Yes,Personal Vehicle,Neutral,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets","Safe parks or green spaces, Public transit options, Youth programming, Job centers or business support",Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence",Positive,Education and youth programs,Somewhat connected,6,"Grocery stores, Restaurants/cafes, Coworking spaces","I believe education is the key to our problems. There needs to be more of an investment in early education and child care. I also think there needs to be a cultural shift in which education is more valued as a driver of upward mobility. In addition to education, there is a lack of safe, reliable transportation options in our city. VIA does what is can with the budget they have available to them, however, I think more should and can be done. We need more partnerships between the public and private sectors, where they collaborate on transformational transportation projects. Lastly, I think our infrastructure projects take entirely too long to complete, which leads to low public trust in government and overall frustration. We need to be able to build more efficiently and prove that we can get things done with the public's money.  "
7/7/2025 15:34:22,78209,35–44,Employed full-time,Owning a home or condo,Single-family house,3,Rising property value,2,Low wages,Unsure,Low wages,"Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles",Yes,Personal Vehicle,Somewhat satisfied,"More frequent bus service, Expanded routes or better coverage",Affordable child or elder care,Yes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Larger military presence",Positive,Increased wages and high paying jobs/employers,Somewhat connected,9,Coworking spaces,
7/7/2025 15:45:28,78210,25–34,"Unemployed, looking for work",Owning a home or condo,Single-family house,2,Poor housing quality,2,"Not enough job opportunities, Low wages",Yes,"Lack of job opportunities, Low wages, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships",Many tech jobs are being outsourced. I think trade/vocational apprenticeships fit San Antonio’s culture however there needs to be a concerted effort to show young adults that these jobs can provide a living wage. Many apprenticeships begin at low wage which discourages new people from staying long term.,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Youth programming, Job centers or business support",Yes,"Arts, entertainment, music, Low cost of living",Negative,Small business development,Not very connected,7,"Grocery stores, Restaurants/cafes","As the city expands outward, the inner city is crumbling. There is little to no effort in supporting the older housing stock in the inner city or adding amenities which attract young families. Schools are closing because there are no children to fill seats in the inner city. Meanwhile NISD and East Central are overflowing. 

Older neighborhoods offer more than housing opportunities, they offer walkable neighborhoods with easier access to public transit. But because infrastructure is old and unmaintained, sidewalks are broken, crime is high, and stray dogs make these walkable streets unsafe to actually walk on and it makes the area less attractive to young families who want a safe environment for their children."
7/7/2025 17:02:19,78223,65 or older,Retired,Renting an apartment or house,"Apartment in a mid-rise or high-rise apartment (4+ stories), Group home, assisted living, or supportive housing, Gov. Housing",3,Poor housing quality,1,Not enough policemen on duty for living situation.,Retired,too many illegals to take up American jobs.,"Trade or vocational training, Healthcare or caregiving roles, Apprenticeships",Yes,Personal Vehicle,Very satisfied,Reduced traffic congestion,Mental health or healthcare services,Yes,Low cost of living,Not familiar with current development plans,Affordable housing,Somewhat connected,6,Other,More Fire departments on the Southside/southeast side.
7/8/2025 13:55:19,78249,35–44,Employed full-time,Renting an apartment or house,Single-family house,3,"Rising rent and/or high housing costs, Limited availability of housing, Lack of homeownership opportunities, Rising property value",2,"Low wages, High cost of living",I'm unsure because my field does not have opportunities in the area at all. I am essentially confined to the medical center or Stone Oak,"Low wages, Transportation challenges, Childcare or eldercare responsibilities",Healthcare or caregiving roles,"I don't know. I'm not familiar with government and private partnerships, but I'm dubious of such arrangements. ",Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Safer streets","Public transit options, Mental health or healthcare services",Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, all of this is with an asterisk. The merger with UT Health and UTSA is a debacle and weakening both of them. The arts and music scene, while improving is still a shockingly pathetic state. The groups that SA attracts are nowhere near the caliber and variety that come to Dallas, Austin, or Houston. ",Positive,Affordable housing,Not very connected,2,"Restaurants/cafes, Healthcare services",
7/8/2025 14:35:36,78251,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,"Lack of homeownership opportunities, No housing concerns",1,"Not enough job opportunities, Lack of diversity in retail & consumerism, Fun things",No,"Lack of job opportunities, Low wages, Transportation challenges","Tech and digital skills, Apprenticeships, Soft skills",Yes,Personal Vehicle,I don't use public transportation,"Expanded routes or better coverage, More sidewalks, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces, Youth programming",Yes,"Arts, entertainment, music, Growing Tech Hub scene",Positive,Health,Not connected at all,10,"Grocery stores, Coworking spaces",
7/9/2025 7:45:11,78202,35–44,Employed full-time,Owning a home or condo,Single-family house,2,Poor housing quality,1,"Not enough job opportunities, Lack of diversity in retail & consumerism, Older or small workforce base, Lack of long-term investment opportunities","It seems the only investment opportunities are for flipping houses, which is good but not enough. More business is needed. ","Lack of job opportunities, Red tape and other burdens deterring new businesses from setting up shop in San Antonio","Trade or vocational training, Tech and digital skills, Apprenticeships","They certainly could, if well executed. But also, I don’t think such partnerships are especially useful if they drag on in the planning phase indefinitely. Too much input from too many interests can undermine these partnerships. ",Personal Vehicle,I don't use public transportation,"More sidewalks, Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Project Marvel, Green & Silver Line, the big bicycle network recently approved by city council. ",Positive,Job creation,Not very connected,3,"Grocery stores, Restaurants/cafes",
7/11/2025 23:37:57,78256,18–24,Employed full-time,"Renting an apartment or house, Student housing or dormitory",Apartment in a low-rise building (1-3 stories),2,"Rising rent and/or high housing costs, Limited availability of housing, Displacement/gentrification",2,"Lack of diversity in retail & consumerism, Low wages, Lack of long-term investment opportunities",Yes,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Apprenticeships, English language or GED programs",Yes,Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Job centers or business support",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Positive,Public transit and walkability,Very connected,5,"Grocery stores, Restaurants/cafes, Financial services, Coworking spaces",
7/15/2025 15:49:00,78224,18–24,Employed part-time,Living with family or friends (not as a renter or owner),"Single-family house, ",5,"Rising rent and/or high housing costs, Poor housing quality, Lack of homeownership opportunities",4,"Not enough job opportunities, Low wages, High cost of living",Unsure,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, English language or GED programs",Maybe,Ride-share,Somewhat satisfied,"Expanded routes or better coverage, More sidewalks, Safer streets, Lower transportation costs","Affordable child or elder care, Youth programming",Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Neutral,Job creation,Somewhat connected,7,"Child care/senior care, Financial services",
7/17/2025 18:26:33,78201,35–44,Employed full-time,Owning a home or condo,Single-family house,2,Rising property value,1,"Low wages, Older or small workforce base",Unsure,"Low wages, Childcare or eldercare responsibilities",Soft skills,Yes,Personal Vehicle,Somewhat satisfied,Expanded routes or better coverage,"Affordable child or elder care, Job centers or business support",Yes,"Arts, entertainment, music, Low cost of living",Positive,Small business development,Very connected,10,"Restaurants/cafes, Coworking spaces","Bad infrastructure. Streets, sidewalks, lighting. "
7/17/2025 18:54:17,78249,25–34,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Rising rent and/or high housing costs, Lack of homeownership opportunities, Rising property value",4,"Not enough job opportunities, Low wages, Lack of long-term investment opportunities, High cost of living, in the context of saving up for a house pretty much anything is too expensive, and perceived to be getting worse",Unsure,"Lack of job opportunities, Low wages","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, English language or GED programs",Maybe,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets",Safe parks or green spaces,Sometimes,"Access to top-tier universities and research institutions, Low cost of living",Not familiar with current development plans,Affordable housing,Not connected at all,5,"Grocery stores, Restaurants/cafes, Healthcare services","wish there was some rules limiting noise from vehicles, especially in the middle of the night, in my neighborhood there's a bunch of people who mod their cars to make TONS of noise, and they rev that stuff at 3AM, it's a disturbance"
7/17/2025 21:26:39,78209,35–44,Employed part-time,Owning a home or condo,Single-family house,4,Rising property value,1,"Low wages, High cost of living",public private partnership and  innovation,Childcare or eldercare responsibilities,"Trade or vocational training, Healthcare or caregiving roles","access to capital, data, systemic knowledge",Personal Vehicle,Somewhat dissatisfied,"More sidewalks, Safer streets",Public transit options,Sometimes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Positive,Affordable housing,Somewhat connected,9,Other,intracity municipalities should be operating with more alignment with COSA and Bexar County; there is untapped capital and grant opportunity
7/18/2025 11:39:31,78215,25–34,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Rising rent and/or high housing costs, Lack of homeownership opportunities, Rising property value",1,"Lack of long-term investment opportunities, High cost of living",Yes,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, English language or GED programs",Yes,Personal Vehicle,I don't use public transportation,"More sidewalks, Safer streets","Affordable child or elder care, Youth programming",Yes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Negative,Small business development,Somewhat connected,9,Child care/senior care,
7/18/2025 13:34:12,78231,45–54,Retired,Owning a home or condo,Single-family house,4,Rising property value,2,High cost of living,Unsure,Childcare or eldercare responsibilities,"Green jobs/sustainability sectors, Healthcare or caregiving roles, Soft skills, English language or GED programs",Yes,Personal Vehicle,Neutral,"More frequent bus service, Reduced traffic congestion",Public transit options,Yes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Positive,Public transit and walkability,Neutral,9,Coworking spaces,"As San Antonio looks to create a hub for entertainment downtown, we need increased public transportation to get people who live outside of the downtown area to get people to and from the area more frequently. I don’t take the bus, because there is only one bus that passes about 1/2 mile from my house that doesn’t come by too frequently. I’d love to take it to the airport, to downtown, the Pearl, etc. if it were frequent and pretty direct. "
7/18/2025 15:41:45,78254,35–44,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,4,"Low wages, High cost of living",No,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Green jobs/sustainability sectors, Soft skills",Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage","Public transit options, Affordable child or elder care, Mental health or healthcare services, Job centers or business support",Sometimes,"Growing Tech Hub scene, San Antonio International Airport Expansion",Positive,Affordable housing,Neutral,10,"Child care/senior care, Coworking spaces",
7/20/2025 23:43:42,78212,65 or older,Retired,Owning a home or condo,Condo,3,Limited availability of housing,1,Low wages,Do not know,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, Apprenticeships",Partnerships are beneficial but only if the private sector follows through on its commitments.,Personal Vehicle,Neutral,"More frequent bus service, Expanded routes or better coverage",Affordable child or elder care,Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions",Negative,Affordable housing,Somewhat connected,10,Healthcare services,"I live in a fairly affluent neighborhood with amenities superior to many other parts of SA. What I would like our city to put increased $ and consideration is creating housing and support for the unhomed population.  Habitat is overwhelmed and, while admirable, not a permanent solution.  Let’s find a way to get people housed, consider UBI, mental health services.  Big challenge but once you get a handle on it, so many other problems will also decrease."
7/24/2025 9:18:57,78210,25–34,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Limited availability of housing, Poor housing quality",1,"Older or small workforce base, There needs to be more investment in housing and various types of consumption. But it’s all an issue of sufficient income really. We need better educated people and more high paying firms. Nice cities work because of a few main things namely density of goods and services (lowers fixed costs and cost of access) and they have large sets of high earning people to keep a range of options in business ","Nice homes and room to grow in D1 e.g. project marvel, development in Lavaca ","Lack of job opportunities, Inadequate training or education programs, Transportation challenges, Both right? In an issue in that city budgets need to be balanced as so investment in supply or demand side (companies, infrastructure or people) are all constrained. The huge shy return investment is probably built environment and people/education. Make smart people and place people want to be and growth will happen.  ","Tech and digital skills, Green jobs/sustainability sectors, University and programs to help high school kids perform and go to school. We have world class universities in our city (Birds Up) and the economy is becoming more not less advanced. We need to teach people (how to think) in addition to the normal and increasing (and misled) focus on training (skills, which become dated). ","Of course! We are lucky to have an incredibly robust public sector between our utilities CPS Energy and SAWS which are government owned contribute 25% of the cities discretionary budget, to universities and the military. Our public sector should help lead and grow private sector opportunities. ",Walking,Neutral,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets","Lucky to be in Southtown, but in other areas mixed use spaces are lacking. All areas should have some mix of healthcare, food, recreation, and jobs. ",Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence, Low cost of living, All of the above are excellent for SA. I think SA should build around what it does best and is known for UTSA, CPS Energy, SAWS and SARA, and the Spurs are all world class institutions that make the city go, with the first 4 being public actors and solely led by public purpose and the latter being the thing that puts us on the global map ( along with our heritage and history). Invest in these. ",Positive,"Built environment (I’d say this is key but captures a few—affordable, enjoyable, sustainable and resilient places that people want to be in) ",Very connected,10,Healthcare services,"San Antonio, riddle by a real history of poverty and inequality, is often overly focused on cost and approaches development with an outdated and negative bias (even if understandable in part). We need to focus on BENEFITS and not just cost. Lowering costs on a fixed budget will still not make you wealthy, similarly redistribution or a focus on it cannot itself solve poverty. When we DONT do competitive things, the lost opportunity is almost certainly larger than the explicit cost that would hav even incurred. Of course we need focused policy and clear discussion of tradeoffs between our budget, different opportunities, and real sensitivities and issues in our communities. But economic growth is good, benefits of it almost by definition outweigh the costs, and experts can help us design this future. Thanks for yalls work to lead that! "
7/25/2025 11:25:52,78245,45–54,Employed full-time,Owning a home or condo,Single-family house,5,Rising rent and/or high housing costs,5,"Lack of diversity in retail & consumerism, Low wages, Older or small workforce base, High cost of living",Unsure,Low wages,Soft skills,No,Personal Vehicle,Neutral,"Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs","Safe parks or green spaces, Public transit options, Affordable child or elder care, Job centers or business support",Sometimes,"Arts, entertainment, music, Low cost of living",Not familiar with current development plans,Affordable housing,Not very connected,3,"Healthcare services, Financial services",
7/25/2025 12:12:27,78216,45–54,Employed full-time,Renting an apartment or house,Single-family house,3,Rising rent and/or high housing costs,4,High cost of living,Unsure,Low wages,Not interested,Unsure,VIA bus,Somewhat satisfied,Expanded routes or better coverage,Job centers or business support,Yes,"Arts, entertainment, music",Neutral,Education and youth programs,Neutral,6,Financial services,
7/28/2025 10:49:11,78209,65 or older,Retired,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,2,High cost of living,Yes,"Lack of job opportunities, Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, English language or GED programs",Yes,Personal Vehicle,I don't use public transportation,"Expanded routes or better coverage, More sidewalks, Safer streets",Affordable child or elder care,Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Positive,Job creation,Somewhat connected,10,,
7/28/2025 11:11:43,78209,65 or older,Retired,Owning a home or condo,Single-family house,3,"Rising rent and/or high housing costs, Rising property value",3,Lower educated workforce hinders attracting higher paying industries - too dependent on tourism and military programs,Unsure,"Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors",Providing paid training by companies can develop a pipeline for jobs and allow the companies to select the best candidates to fit their teams,Personal Vehicle,I don't use public transportation,"More sidewalks, Safer streets",Job centers or business support,Yes,"The 3 century history and the Missions, the expanding Howard Peak Trail system and River Walk north and south",Negative,Education and youth programs,Somewhat connected,8,,
7/29/2025 13:55:42,78237,65 or older,Employed part-time,Owning a home or condo,Single-family house,1,Rising property value,1,High cost of living,No,Childcare or eldercare responsibilities,Trade or vocational training,Yes,Personal Vehicle,I don't use public transportation,Safer streets,"Low income, high priced groceries, improvement in the Westside. Cost of Living",Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions",Positive,All of the above,Very connected,10,Other,"Westside needs a lot of improvement. More businesses in our area. Better conditions. Cleaner, update. "
