"SwProjectID","ProjectCategory","CouncilDistrict","ProjectStreet","FromStreet","ToStreet","SideOfStreet","EstTotalCost","FiscalYear","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","PercentComplete","ProjectType","ProjectManager","Contact","ProjectLength","SidewalkInstalledFeet","ProjectStatus","ProjectLimits","Shape_Length","ActStart","ActFinish","ActDuration"
"1029","IMP","3","CANAVAN ST","MARNEY PLAZA","DEAD END","One Side",18731,2021,2021-08-16,2021-09-10,2021-08-16,2021-08-24,100,"Sidewalks","Karlo Jajliardo","0",235.61,NA,"None Existing","CANAVAN ST - North Side ( MARNEY PLAZA To DEAD END )",235.611867575077,2021-08-16,2021-08-24,8
"1079","IMP","6","WESTMAR","WESTGLADE PLACE","WESTLAWN","One Side",39498.9,2021,2021-04-05,2021-05-28,2021-04-05,2021-06-03,100,"Sidewalks","Maitham Humoud","0",806.1,NA,"None Existing","WESTMAR - West Side ( WESTGLADE PLACE To WESTLAWN )",799.707385213676,2021-04-05,2021-06-03,59
"1095","IMP","6","JIM BOWIE DR","TOWNHILL","VIVA MAX DR","Both Sides",14286.75,2021,2021-09-01,2022-03-29,2021-08-27,2021-10-07,100,"Sidewalks","Maitham Humoud","0",264.1,NA,"None Existing","JIM BOWIE DR - Both Sides ( TOWNHILL To VIVA MAX DR )",264.102423482497,2021-08-27,2021-10-07,41
"1143","IMP","5","S MURRY ST","TAMPICO ST","HIDALGO ST","Both Sides",15974,2021,2020-11-16,2020-11-20,2020-11-16,2020-12-03,100,"Sidewalks","Maitham Humoud","0",326,NA,"None Existing","S MURRY ST - Both Sides ( TAMPICO ST To HIDALGO ST )",326.003806946179,2020-11-16,2020-12-03,17
"1155","IMP","3","CONGRESS","S FLORES ST","CURTIS ST","Both Sides",116692.03,2021,2021-03-18,2021-05-21,2021-03-18,2021-04-19,100,"Sidewalks","Karlo Jajliardo","0",2381.47,NA,"Existing/None Existing","CONGRESS - Both Sides ( S FLORES ST To CURTIS ST )",2381.46955189284,2021-03-18,2021-04-19,32
"1161","IMP","1","N SABINAS","LEAL ST","RUIZ ST","One Side",22376.34,2021,2021-09-20,2021-09-28,2021-09-21,2021-09-24,100,"Sidewalks","Daniel Carrion","0",456.66,NA,"None Existing","N SABINAS - West Side ( LEAL ST To RUIZ ST )",453.290521737931,2021-09-21,2021-09-24,3
"1240","IMP","7","CRYSTAL RUN","FLIPPER DR","WURZBACH RD","One Side",56165.27,2021,2021-07-19,2021-08-20,2021-07-19,2021-08-05,100,"Sidewalks","Maitham Humoud","0",1146.23,NA,"None Existing","CRYSTAL RUN - North Side ( FLIPPER DR To WURZBACH RD )",1168.05954399097,2021-07-19,2021-08-05,17
"1246","IMP","7","TEXAS AVE","GOODRICH AVE","NEFF AVE","Both Sides",16032.8,2021,2021-07-26,2021-08-27,2021-07-26,2021-09-17,100,"Sidewalks","Maitham Humoud","0",327.2,NA,"Existing/None Existing","TEXAS AVE - Both Sides ( GOODRICH AVE To NEFF AVE )",327.195685367148,2021-07-26,2021-09-17,53
"1318","IMP","2","BURNET ST","N OLIVE ST","N PINE ST","One Side",14231.07,2021,2021-04-26,2021-07-19,2021-05-03,2021-08-03,100,"Sidewalks","Luis Ocura","0",290.43,NA,"None Existing","BURNET ST - South Side ( N OLIVE ST To N PINE ST )",277.534300312312,2021-05-03,2021-08-03,92
"1319","IMP","2","SHERMAN ST","N MESQUITE ST","N HACKBERRY ST","One Side",21145.95,2021,2021-06-07,2021-08-23,2021-07-12,2021-08-13,100,"Sidewalks","Luis Ocura","0",431.55,NA,"None Existing","SHERMAN ST - South Side ( N MESQUITE ST To N HACKBERRY ST )",416.270338504493,2021-07-12,2021-08-13,32
"1335","IMP","2","BURNET ST","N PINE ST","WILLOW ST","One Side",21360.08,2021,2021-04-26,2021-07-19,2021-05-03,2021-08-03,100,"Sidewalks","Luis Ocura","0",435.92,NA,"Existing/None Existing","BURNET ST - North Side ( N PINE ST To WILLOW ST )",430.873847289007,2021-05-03,2021-08-03,92
"1347","IMP","3","KASHMUIR PLACE","S WALTERS ST","CLARK AVE","One Side",51473.28,2021,2021-03-22,2021-04-23,2021-02-15,2021-04-05,100,"Sidewalks","Karlo Jajliardo","0",1354.56,NA,"None Existing","KASHMUIR PLACE - North Side ( S WALTERS ST To CLARK AVE )",1369.04259982018,2021-02-15,2021-04-05,49
"1365","IMP","9","VISTA NOGAL","VISTA HILL","PATRICIA DR","One Side",51633.26,2021,2021-03-08,2021-04-30,2021-03-08,2021-04-05,100,"Sidewalks","Oziegbe Oyameda","0",1263.74,NA,"None Existing","VISTA NOGAL - West Side ( VISTA HILL To PATRICIA DR )",1008.60048124629,2021-03-08,2021-04-05,28
"1379","IMP","2","CHARCLIFF DR","UPLAND DR","EASTWOOD DR","Both Sides",114718.31,2021,2021-11-20,2021-03-14,2020-12-14,2021-03-19,100,"Sidewalks","Luis Ocura","0",2341.19,NA,"None Existing","CHARCLIFF DR - Both Sides ( UPLAND DR To EASTWOOD DR )",2341.1937472415,2020-12-14,2021-03-19,95
"1389","SW Repair","1","LIVELY","PANDA DR","WEST AVE","Both Sides",34891.3,2021,2021-02-01,2021-09-30,2021-05-24,2021-06-17,NA,"Sidewalks","Harry Trumble","0",3868.47,NA,"Existing","LIVELY - Both Sides ( PANDA DR To WEST AVE )",3868.47118044498,2021-05-24,2021-06-17,24
"1391","SW Repair","2","DILWORTH ST","S NEW BRAUNFELS AVE","IOWA ST","Both Sides",15451.2,2021,2021-01-01,2021-09-30,2021-03-08,2021-03-11,NA,"Sidewalks","Harry Trumble","0",841.58,NA,"Existing","DILWORTH ST - Both Sides ( S NEW BRAUNFELS AVE To IOWA ST )",944.673329215898,2021-03-08,2021-03-11,3
"1392","SW Repair","2","DENVER BLVD","ST ANTHONY AVE","S NEW BRAUNFELS AVE","Both Sides",9990,2021,2020-12-01,2021-09-30,2021-02-01,2021-03-08,NA,"Sidewalks","Harry Trumble","0",625.61,NA,"Existing","DENVER BLVD - Both Sides ( ST ANTHONY AVE To S NEW BRAUNFELS AVE )",625.614917633764,2021-02-01,2021-03-08,35
"1395","SW Repair","3","E WHITE AVE","S FLORES ST","TRENTON ST","Both Sides",11601.72,2021,2021-01-01,2020-12-31,2020-10-23,2020-11-05,NA,"Sidewalks","Harry Trumble","0",832.01,NA,"Existing","E WHITE AVE - Both Sides ( S FLORES ST To TRENTON ST )",832.008714768343,2020-10-23,2020-11-05,13
"1396","SW Repair","3","SHRINE AVE","RONDA ST","LOLETA","Both Sides",11455.2,2021,2021-01-01,2020-12-31,2020-11-06,2020-11-19,NA,"Sidewalks","Harry Trumble","0",844.37,NA,"Existing","SHRINE AVE - Both Sides ( RONDA ST To LOLETA )",844.373238732207,2020-11-06,2020-11-19,13
"1398","SW Repair","3","STRATFORD CT","DEAD END","CYNTHIA LINN","Both Sides",13013.64,2021,2021-02-01,2021-02-01,2020-12-07,2020-12-22,NA,"Sidewalks","Harry Trumble","0",841.06,NA,"Existing","STRATFORD CT - Both Sides ( DEAD END To CYNTHIA LINN )",841.064114744959,2020-12-07,2020-12-22,15
"1401","SW Repair","4","RIO LINDA","BAY HORSE DR","PRESCOTT DR","Both Sides",29634.78,2021,2021-02-01,2021-09-30,2021-08-31,2021-09-16,NA,"Sidewalks","Harry Trumble","0",1918.36,NA,"Existing","RIO LINDA - Both Sides ( BAY HORSE DR To PRESCOTT DR )",1918.36042331355,2021-08-31,2021-09-16,16
"1404","SW Repair","5","W HIGHLAND BLVD","MISSION RD","HUNSTOCK AVE","Both Sides",22644,2021,2021-03-01,2021-09-30,2021-08-09,2021-09-03,NA,"Sidewalks","Harry Trumble","0",1588.47,NA,"Existing","W HIGHLAND BLVD - Both Sides ( MISSION RD To HUNSTOCK AVE )",1589.78142084628,2021-08-09,2021-09-03,25
"1405","SW Repair","5","WILKENS","ROOSEVELT AVE","CASTILLO AVE","Both Sides",15051.6,2021,2021-07-01,2021-08-01,2021-06-21,2021-07-12,NA,"Sidewalks","Harry Trumble","0",1034.95,NA,"Existing","WILKENS - Both Sides ( ROOSEVELT AVE To CASTILLO AVE )",1017.09147059982,2021-06-21,2021-07-12,21
"1406","SW Repair","5","S ROSILLO","SAN LUIS ST","W CESAR CHAVEZ BLVD","Both Sides",4755.24,2021,2021-07-15,2021-08-15,2021-07-27,2021-08-09,NA,"Sidewalks","Harry Trumble","0",354.18,NA,"Existing","S ROSILLO - Both Sides ( SAN LUIS ST To W CESAR CHAVEZ BLVD )",354.183752362945,2021-07-27,2021-08-09,13
"1411","SW Repair","6","VIVA MAX DR","OAKHILL RD","CALLAGHAN RD","Both Sides",30369.6,2021,2021-08-15,2021-09-15,2021-09-24,2021-10-04,NA,"Sidewalks","Harry Trumble","0",2211.35,NA,"Existing","VIVA MAX DR - Both Sides ( OAKHILL RD To CALLAGHAN RD )",2230.93029532956,2021-09-24,2021-10-04,10
"1412","SW Repair","6","DAVY CROCKETT DR","VIVA MAX DR","PANCHO VILLA DR","Both Sides",7326,2021,2021-08-01,2021-09-01,2021-09-30,2021-10-08,NA,"Sidewalks","Harry Trumble","0",659.44,NA,"Existing","DAVY CROCKETT DR - Both Sides ( VIVA MAX DR To PANCHO VILLA DR )",654.071266308134,2021-09-30,2021-10-08,8
"1413","SW Repair","6","JIM BOWIE DR","VIVA MAX DR","PANCHO VILLA DR","Both Sides",7326,2021,2021-08-10,2021-09-10,2021-09-30,2021-10-08,NA,"Sidewalks","Harry Trumble","0",654.73,NA,"Existing","JIM BOWIE DR - Both Sides ( VIVA MAX DR To PANCHO VILLA DR )",641.484992701667,2021-09-30,2021-10-08,8
"1417","SW Repair","7","DOVE HILL","WARPATH DR","QUIVER DR","Both Sides",20446.2,2021,2021-08-20,2021-09-20,2021-09-16,2021-09-27,NA,"Sidewalks","Harry Trumble","0",1472.17,NA,"Existing","DOVE HILL - Both Sides ( WARPATH DR To QUIVER DR )",1472.16818757827,2021-09-16,2021-09-27,11
"1421","SW Repair","8","SPRING ROSE DR","SPRING MONT DR","SPRING TIME DR","Both Sides",17837.7,2021,2021-07-01,2021-07-01,2021-10-18,2021-10-28,NA,"Sidewalks","Harry Trumble","0",1603.88,NA,"Existing","SPRING ROSE DR - Both Sides ( SPRING MONT DR To SPRING TIME DR )",1603.87769918774,2021-10-18,2021-10-28,10
"1425","SW Repair","9","FANTASIA","REVERIE LN","SAN PEDRO AVE","Both Sides",20990.1,2021,2021-08-01,2021-08-01,2021-05-10,2021-05-21,NA,"Sidewalks","Harry Trumble","0",1836.48,NA,"Existing","FANTASIA - Both Sides ( REVERIE LN To SAN PEDRO AVE )",25.4034385733617,2021-05-10,2021-05-21,11
"1426","SW Repair","9","AFTERGLOW DR","WEST AVE","LIDA ROSE","Both Sides",8713.5,2021,2021-08-01,2021-08-01,2021-05-17,2021-05-24,NA,"Sidewalks","Harry Trumble","0",772.64,NA,"Existing","AFTERGLOW DR - Both Sides ( WEST AVE To LIDA ROSE )",789.462540379441,2021-05-17,2021-05-24,7
"1430","SW Repair","10","BAYLISS","EDGEFIELD DR","PESQUERA","Both Sides",23676.3,2021,2021-04-27,2021-05-14,2021-04-27,2021-05-14,NA,"Sidewalks","Harry Trumble","0",2140.78,NA,"Existing","BAYLISS - Both Sides ( EDGEFIELD DR To PESQUERA )",2140.77897015819,2021-04-27,2021-05-14,17
"1431","SW Repair","10","BRET HARTE","SORRENTO","TENNYSON","Both Sides",13697.4,2021,2021-09-01,2021-09-01,2021-04-01,2021-04-27,NA,"Sidewalks","Harry Trumble","0",1224.19,NA,"Existing","BRET HARTE - Both Sides ( SORRENTO To TENNYSON )",1224.1887027752,2021-04-01,2021-04-27,26
"1440","SW Repair","8","SPRING BROOK DR","SPRING MONT DR","SPRING TIME DR","Both Sides",14669.79,2021,2021-07-01,2021-08-01,2021-10-08,2021-10-21,NA,"Sidewalks","Harry Trumble","0",1622.68,NA,"Existing","SPRING BROOK DR - Both Sides ( SPRING MONT DR To SPRING TIME DR )",1622.68268227556,2021-10-08,2021-10-21,13
"1482","IMP","2","PROVIDENCE","SEA BREEZE","CHESAPEAKE","One Side",63882.77,2021,2020-10-12,2020-12-05,2020-10-12,2020-11-16,100,"Sidewalks","Luis Ocura","0",1303.73,NA,"None Existing","PROVIDENCE - West Side ( SEA BREEZE To CHESAPEAKE )",1303.72802371331,2020-10-12,2020-11-16,35
"1491","IMP","3","MERRY ANN DR","LYNHURST AVE","FRANCES JEAN","Both Sides",88538.1,2021,2021-03-15,2021-06-25,2021-03-15,2021-04-30,100,"Sidewalks","Karlo Jajliardo","0",1806.9,NA,"None Existing","MERRY ANN DR - Both Sides ( LYNHURST AVE To FRANCES JEAN )",1806.90139036432,2021-03-15,2021-04-30,46
"1492","IMP","3","MERRY ANN DR","PIEDMONT AVE","LYNHURST AVE","Both Sides",106800.4,2021,2021-03-15,2021-06-25,2021-03-15,2021-04-30,100,"Sidewalks","Karlo Jajliardo","0",2179.6,NA,"None Existing","MERRY ANN DR - Both Sides ( PIEDMONT AVE To LYNHURST AVE )",2137.44417330909,2021-03-15,2021-04-30,46
"1500","IMP","4","WOBAKER","W MALLY BLVD","CUL-DE-SAC","Both Sides",21841.26,2021,2021-09-27,2022-03-29,2021-09-27,2021-10-11,95,"Sidewalks","Karlo Jajliardo","0",445.74,NA,"None Existing","WOBAKER - Both Sides ( W MALLY BLVD To CUL-DE-SAC )",621.543782754421,2021-09-27,2021-10-11,14
"1501","IMP","4","LYTLE AVE","GILLETTE BLVD","W MALLY BLVD","One Side",39046.14,2021,2021-06-21,2021-08-13,2021-06-17,2021-08-03,100,"Sidewalks","Karlo Jajliardo","0",796.86,NA,"None Existing","LYTLE AVE - East Side ( GILLETTE BLVD To W MALLY BLVD )",769.639955152758,2021-06-17,2021-08-03,47
"1502","IMP","4","ODEM","GILLETTE BLVD","OLIMITO","One Side",19945.94,2021,2021-06-21,2021-08-20,2021-06-16,2021-08-03,100,"Sidewalks","Karlo Jajliardo","0",407.06,NA,"None Existing","ODEM - East Side ( GILLETTE BLVD To OLIMITO )",383.350516302343,2021-06-16,2021-08-03,48
"1510","IMP","4","PALM CREST","FAIRMEADOWS","CUL-DE-SAC","Both Sides",50502.34,2021,2021-09-13,2021-10-29,2021-09-13,2021-11-09,99,"Sidewalks","Karlo Jajliardo","0",1030.66,NA,"None Existing","PALM CREST - Both Sides ( FAIRMEADOWS To CUL-DE-SAC )",1202.63187186243,2021-09-13,2021-11-09,57
"1525","IMP","5","S MURRY ST","MONTEREY ST","BUENA VISTA ST","Both Sides",33674.27,2021,2020-11-16,2020-12-10,2020-12-08,2020-12-23,100,"Sidewalks","Maitham Humoud","0",687.23,NA,"None Existing","S MURRY ST - Both Sides ( MONTEREY ST To BUENA VISTA ST )",687.227468492695,2020-12-08,2020-12-23,15
"1527","IMP","5","DANNYCLAY","NW 38TH ST","YOLANDA","Both Sides",104852.16,2021,2021-01-18,2021-03-31,2021-02-01,2021-04-05,100,"Sidewalks","Maitham Humoud","0",2139.84,NA,"None Existing","DANNYCLAY - Both Sides ( NW 38TH ST To YOLANDA )",2116.46493114305,2021-02-01,2021-04-05,63
"1528","IMP","6","RIM LINE DR","RIDGE STONE","RIM ROCK TRL","One Side",47720.61,2021,2021-02-15,2021-04-09,2021-02-08,2021-03-03,100,"Sidewalks","Maitham Humoud","0",973.89,NA,"None Existing","RIM LINE DR - West Side ( RIDGE STONE To RIM ROCK TRL )",966.005268242372,2021-02-08,2021-03-03,23
"1530","IMP","7","JOHN ADAMS DR","COLLEEN","RED BUD DR","Both Sides",159890.43,2021,2021-03-15,2021-05-28,2021-03-10,2021-05-28,100,"Sidewalks","Maitham Humoud","0",3263.07,NA,"None Existing","JOHN ADAMS DR - Both Sides ( COLLEEN To RED BUD DR )",3294.77790395324,2021-03-10,2021-05-28,79
"1553","IMP","6","LAUREL BEND","SOUTH BEND","IVY BEND","One Side",38851.12,2021,2021-04-05,2020-12-31,2020-11-23,2020-12-11,100,"Sidewalks","Maitham Humoud","0",792.88,NA,"None Existing","LAUREL BEND - West Side ( SOUTH BEND To IVY BEND )",551.564628363966,2020-11-23,2020-12-11,18
"1554","IMP","6","IVY BEND","GRAND BEND","LAUREL BEND","One Side",21022.47,2021,2021-03-22,2020-12-31,2020-11-16,2020-12-11,100,"Sidewalks","Maitham Humoud","0",429.03,NA,"None Existing","IVY BEND - North Side ( GRAND BEND To LAUREL BEND )",429.033891752064,2020-11-16,2020-12-11,25
"1556","IMP","6","BRICKWOOD","GUILBEAU RD","BRISTOW BEND","Both Sides",32401.74,2021,2021-02-15,2021-03-19,2021-01-22,2021-02-04,100,"Sidewalks","Maitham Humoud","0",661.26,NA,"None Existing","BRICKWOOD - Both Sides ( GUILBEAU RD To BRISTOW BEND )",661.256845848676,2021-01-22,2021-02-04,13
"1561","IMP","6","OAK MILL","OAK BRANCH","STAR CREEK DR","One Side",45605.45,2021,2021-10-20,2021-11-19,2021-10-20,2021-11-23,100,"Sidewalks","Maitham Humoud","0",885.56,NA,"None Existing","OAK MILL - North Side ( OAK BRANCH To STAR CREEK DR )",683.52966334246,2021-10-20,2021-11-23,34
"1566","IMP","9","WEST AVE","SILVER OAKS","ANCHOR","One Side",63338.38,2021,2021-08-02,2021-09-30,2021-08-02,2021-09-08,100,"Sidewalks","Oziegbe Oyameda","0",1292.62,NA,"None Existing","WEST AVE - East Side ( SILVER OAKS To ANCHOR )",1292.61732579974,2021-08-02,2021-09-08,37
"1567","IMP","10","NACOGDOCHES RD","THOUSAND OAKS","OLD PERRIN-BEITEL RD","Both Sides",89991.93,2021,2021-05-04,2021-08-04,2021-05-04,2021-08-04,100,"Sidewalks","Oziegbe Oyameda","0",1836.57,NA,"None Existing","NACOGDOCHES RD - Both Sides ( THOUSAND OAKS To OLD PERRIN-BEITEL RD )",1836.57086765684,2021-05-04,2021-08-04,92
"1568","IMP","10","LE BLANC","SHIRE OAK","QUARLES DR","Both Sides",28123.06,2021,2021-04-22,2021-06-30,2021-04-19,2021-06-30,100,"Sidewalks","Oziegbe Oyameda","0",573.94,NA,"None Existing","LE BLANC - Both Sides ( SHIRE OAK To QUARLES DR )",542.387581610166,2021-04-19,2021-06-30,72
"1623","IMP","5","WILLEE","NW 38TH ST","YOLANDA","Both Sides",104635.58,2021,2021-04-01,2021-09-30,2021-03-31,2021-07-02,100,"Sidewalks","Maitham Humoud","0",2135.42,NA,"None Existing","WILLEE - Both Sides ( NW 38TH ST To YOLANDA )",2180.25450211423,2021-03-31,2021-07-02,93
"1629","IMP","3","BROADBENT AVE","TOPEKA BLVD","HAGGIN ST","One Side",24829.77,2021,2021-08-04,2021-09-24,2021-08-04,2021-08-20,100,"Sidewalks","Karlo Jajliardo","0",506.73,NA,"None Existing","BROADBENT AVE - West Side ( TOPEKA BLVD To HAGGIN ST )",513.45368561165,2021-08-04,2021-08-20,16
"1632","SW Repair","2","GALAHAD DR","KING ARTHUR","CUL-DE-SAC","Both Sides",34671.52,2021,2021-01-01,2021-04-10,2021-03-15,2021-04-01,NA,"Sidewalks","Harry Trumble","0",2502.43,NA,"Existing","GALAHAD DR - Both Sides ( KING ARTHUR To CUL-DE-SAC )",2502.4311126209,2021-03-15,2021-04-01,17
"1633","SW Repair","3","TREEHOUSE DR","PECAN GROVE BLVD","GITTINGER","Both Sides",33566.4,2021,2021-02-01,2021-02-01,2021-01-04,2021-01-28,NA,"Sidewalks","Harry Trumble","0",2447.77,NA,"Existing","TREEHOUSE DR - Both Sides ( PECAN GROVE BLVD To GITTINGER )",2447.77101629879,2021-01-04,2021-01-28,24
"1636","SW Repair","5","E HIGHLAND BLVD","S PRESA ST","BUCKINGHAM","Both Sides",8880,2021,2021-03-01,2021-09-30,2021-07-12,2021-07-22,NA,"Sidewalks","Harry Trumble","0",640.26,NA,"Existing","E HIGHLAND BLVD - Both Sides ( S PRESA ST To BUCKINGHAM )",640.261537604851,2021-07-12,2021-07-22,10
"1637","SW Repair","5","COLIMA ST","S PICOSO","NUEVA LEON ST","Both Sides",11322,2021,2021-07-20,2021-08-20,2021-07-22,2021-07-27,NA,"Sidewalks","Harry Trumble","0",771.34,NA,"Existing","COLIMA ST - Both Sides ( S PICOSO To NUEVA LEON ST )",771.339974203964,2021-07-22,2021-07-27,5
"1640","IMP","1","LA MANDA BLVD","AGANIER AVE","BEACON AVE","One Side",21819.7,2021,2020-12-21,2020-12-31,2020-10-21,2020-11-03,100,"Sidewalks","Daniel Carrion","0",445.3,NA,"None Existing","LA MANDA BLVD - North Side ( AGANIER AVE To BEACON AVE )",500.29433262624,2020-10-21,2020-11-03,13
"1651","IMP","8","BABCOCK RD","SUNSET HAVEN DR","CUL-DE-SAC","One Side",56330.89,2021,2021-03-22,2021-05-12,2021-03-22,2021-06-12,100,"Sidewalks","Oziegbe Oyameda","0",1149.61,NA,"None Existing","BABCOCK RD - East Side ( SUNSET HAVEN DR To CUL-DE-SAC )",1148.44308283252,2021-03-22,2021-06-12,82
"1661","SW Repair","7","W SUMMIT","KAMPMANN BLVD","LAKE BLVD","One Side",26640,2021,2021-06-01,2021-07-01,2021-10-29,2021-11-16,NA,"Sidewalks","Harry Trumble","0",1260.74,NA,"Existing","W SUMMIT - South Side ( KAMPMANN BLVD To LAKE BLVD )",1260.73680766797,2021-10-29,2021-11-16,18
"1705","IMP","1","MARDELL ST","BRAD","DEAD END","One Side",83781.18,2021,2021-03-25,2021-05-14,2021-03-29,2021-04-22,100,"Sidewalks","Daniel Carrion","0",1759.82,NA,"None Existing","MARDELL ST - South Side ( BRAD To DEAD END )",1759.27373557359,2021-03-29,2021-04-22,24
"1706","IMP","1","HARWOOD DR","ENNIS","NEER AVE","One Side",63930.79,2021,2021-04-22,2021-05-21,2021-04-29,2021-07-02,100,"Sidewalks","Daniel Carrion","0",1464.71,NA,"None Existing","HARWOOD DR - South Side ( ENNIS To NEER AVE )",1464.7110382471,2021-04-29,2021-07-02,64
"1750","IMP","1","CLIFFWOOD DR","WEST AVE","NEER AVE","One Side",155663.56,2021,2021-08-26,2021-11-26,2021-08-26,2021-10-11,100,"Sidewalks","Daniel Carrion","0",1889.17,NA,"None Existing","CLIFFWOOD DR - North Side ( WEST AVE To NEER AVE )",1889.16847786192,2021-08-26,2021-10-11,46
"1769","IMP","1","REDROCK DR","WEST AVE","NEER AVE","One Side",156363.28,2021,2021-09-07,2021-10-27,2021-09-13,2021-10-29,99,"Sidewalks","Daniel Carrion","0",1829.46,NA,"None Existing","REDROCK DR - North Side ( WEST AVE To NEER AVE )",1829.46195881452,2021-09-13,2021-10-29,46
"2021543","IMP","10","MAYFAIR DR","MacArthur View","LUZON","One Side",62181,2021,2021-02-08,2021-04-08,2021-02-08,2021-04-02,100,"Sidewalks","Oziegbe Oyameda","0",1269,NA,"Completed","MAYFAIR DR - North Side ( MacArthur View To LUZON )",1269.0023525665,2021-02-08,2021-04-02,53
"52","IMP","1","BIERING AVE","S PRESA ST","S ST MARYS","Both Sides",19806.55,2020,2020-08-20,2020-08-28,2020-08-20,2020-08-24,99,"Sidewalks","Daniel Carrion","0",260.27,NA,"None Existing","BIERING AVE - Both Sides ( S PRESA ST To S ST MARYS )",270.805119842793,2020-08-20,2020-08-24,4
"53","IMP","1","OGDEN ST","E PARK AVE","E LOCUST ST","Both Sides",31179.69,2020,2020-07-20,2020-09-30,2020-07-20,2020-07-24,100,"Sidewalks","Daniel Carrion","0",409.72,NA,"None Existing","OGDEN ST - Both Sides ( E PARK AVE To E LOCUST ST )",409.718545135335,2020-07-20,2020-07-24,4
"54","IMP","1","PASCHAL","E LOCUST ST","E DEWEY PLACE","One Side",21951.81,2020,2020-07-06,2020-03-30,2020-02-05,2020-02-14,100,"Sidewalks","Daniel Carrion","0",243.46,NA,"None Existing","PASCHAL - West Side ( E LOCUST ST To E DEWEY PLACE )",243.462808480228,2020-02-05,2020-02-14,9
"59","IMP","1","RIDDLE","S PRESA ST","SADIE ST","Both Sides",44677.55,2020,2020-01-13,2020-01-31,2020-01-13,2020-01-29,100,"Sidewalks","Daniel Carrion","0",587.09,NA,"None Existing","RIDDLE - Both Sides ( S PRESA ST To SADIE ST )",587.088519307401,2020-01-13,2020-01-29,16
"64","IMP","1","STIEREN","S ST MARYS","MISSION ST","Both Sides",32910.21,2020,2020-08-10,2020-08-19,2020-08-10,2020-08-28,100,"Sidewalks","Daniel Carrion","0",432.46,NA,"None Existing","STIEREN - Both Sides ( S ST MARYS To MISSION ST )",417.273209764924,2020-08-10,2020-08-28,18
"103","IMP","1","SERVICE","MENCHACA","ALBERT ST","One Side",12930.91,2020,2020-06-30,2020-07-16,2020-06-30,2020-07-16,100,"Sidewalks","Daniel Carrion","0",169.92,NA,"None Existing","SERVICE - East Side ( MENCHACA To ALBERT ST )",282.415451856139,2020-06-30,2020-07-16,16
"115","IMP","1","E PARK AVE","OGDEN ST","DEAD END","One Side",19767.74,2020,2020-09-01,2020-09-30,2020-07-13,2020-07-17,100,"Sidewalks","Daniel Carrion","0",259.76,NA,"None Existing","E PARK AVE - South Side ( OGDEN ST To DEAD END )",237.093721814974,2020-07-13,2020-07-17,4
"120","IMP","1","LANGTON","YORK DR","SAN PEDRO AVE","One Side",30625.68,2020,2020-02-10,2020-03-30,2020-02-11,2020-02-21,100,"Sidewalks","Daniel Carrion","0",402.44,NA,"None Existing","LANGTON - North Side ( YORK DR To SAN PEDRO AVE )",105.198818116245,2020-02-11,2020-02-21,10
"129","IMP","2","VIRGINIA BLVD","S MESQUITE ST","CACTUS ST","Both Sides",83318.85,2020,2020-04-13,2020-03-31,2020-01-23,2020-03-20,100,"Sidewalks","Carmen Varela-Rivas","0",1524,NA,"None Existing","VIRGINIA BLVD - Both Sides ( S MESQUITE ST To CACTUS ST )",1094.85855264755,2020-01-23,2020-03-20,57
"133","IMP","2","MERCURY","MIDLAND ST","S WW WHITE RD","One Side",60193.58,2020,2020-04-13,2020-05-08,2020-03-24,2020-05-01,100,"Sidewalks","Carmen Varela-Rivas","0",790.98,NA,"None Existing","MERCURY - North Side ( MIDLAND ST To S WW WHITE RD )",790.982206268377,2020-03-24,2020-05-01,38
"163","IMP","9","PATRICIA DR","WEST AVE","CRESTPARK","One Side",79565.59,2020,2020-01-30,2020-04-21,2020-01-30,2020-04-21,100,"Sidewalks","Oziegbe Oyameda","0",1045.54,NA,"None Existing","PATRICIA DR - North Side ( WEST AVE To CRESTPARK )",1045.53684446079,2020-01-30,2020-04-21,82
"168","IMP","10","STATHMORE","ROCK CROFT DR","GARDEN QUARTER","Both Sides",166076.07,2020,2020-03-02,2020-05-22,2020-03-02,2020-05-22,100,"Sidewalks","Oziegbe Oyameda","0",2182.34,NA,"None Existing","STATHMORE - Both Sides ( ROCK CROFT DR To GARDEN QUARTER )",2144.11485465931,2020-03-02,2020-05-22,81
"172","IMP","10","KINGS PT","COMSTOCK","HILLSWIND","Both Sides",72797.26,2020,2020-01-13,2020-03-19,2020-01-13,2020-03-19,100,"Sidewalks","Oziegbe Oyameda","0",956.6,NA,"None Existing","KINGS PT - Both Sides ( COMSTOCK To HILLSWIND )",910.217386153615,2020-01-13,2020-03-19,66
"235","IMP","5","WAGNER AVE","VOTAW ST","CLINTON ST","Both Sides",51840.08,2020,2020-03-23,2020-03-31,2020-01-30,2020-03-17,100,"Sidewalks","Maitham Humoud","0",681.21,NA,"None Existing","WAGNER AVE - Both Sides ( VOTAW ST To CLINTON ST )",675.025777155249,2020-01-30,2020-03-17,47
